,year,level,type,classroom_capacity,pupil_value,subcounty
213,2018,Primary,Private,80,378,Kayunga
214,2019,Primary,Government,44,50,Galiraya
215,2018,Secondary,Government,18,100,Busaana
216,2020,Secondary,Government,45,203,Kitimbwa
217,2021,Secondary,Government,45,167,Bbaale
218,2021,Secondary,Private,80,178,Kayunga
219,2018,Secondary,Private,20,300,Busaana
220,2020,Secondary,Government,32,250,Kayunga
221,2018,Secondary,Government,20,45,Galiraya
222,2020,Secondary,Government,31,200,Kangulumira
223,2021,Primary,Government,44,500,Kitimbwa
224,2022,Secondary,Government,15,180,Bbaale
225,2019,Primary,Private,50,456,Kitimbwa
226,2022,Secondary,Private,60,55,Kangulumira
227,2018,Secondary,Private,60,345,Kayunga Town Council
228,2018,Primary,Private,90,45,Kitimbwa
229,2021,Secondary,Government,35,199,Kitimbwa
230,2020,Secondary,Government,47,30,Kangulumira
231,2019,Primary,Private,100,500,Galiraya
232,2021,Secondary,Private,30,150,Bbaale
233,2019,Secondary,Government,41,50,Busaana
234,2020,Primary,Private,20,150,Kitimbwa
235,2021,Secondary,Government,21,456,Kayunga
236,2021,Primary,Government,33,240,Kitimbwa
237,2022,Primary,Government,37,250,Kangulumira
238,2018,Primary,Private,50,75,Busaana
239,2021,Primary,Private,90,50,Kayunga
240,2022,Primary,Government,11,194,Kayunga Town Council
241,2020,Secondary,Private,90,55,Kangulumira
242,2022,Secondary,Private,90,50,Kayunga
243,2019,Primary,Private,50,167,Bbaale
244,2021,Primary,Private,70,260,Kangulumira
245,2021,Secondary,Private,70,95,Galiraya
246,2021,Primary,Government,13,45,Bbaale
247,2018,Primary,Private,90,203,Kangulumira
248,2022,Primary,Private,60,90,Busaana
249,2019,Secondary,Private,30,95,Galiraya
250,2019,Secondary,Government,26,197,Kangulumira
251,2018,Secondary,Private,100,200,Busaana
252,2022,Primary,Private,50,10,Kayunga
253,2018,Secondary,Government,34,199,Bbaale
254,2018,Secondary,Government,47,203,Kangulumira
255,2019,Primary,Private,30,199,Busaana
256,2022,Primary,Private,50,70,Kitimbwa
257,2020,Secondary,Government,41,20,Bbaale
258,2020,Secondary,Government,25,65,Kitimbwa
259,2020,Secondary,Private,80,35,Busaana
260,2022,Primary,Government,23,167,Kayunga
261,2020,Secondary,Private,20,25,Busaana
262,2022,Primary,Private,50,213,Bbaale
263,2019,Primary,Government,34,167,Galiraya
264,2020,Secondary,Private,40,200,Kangulumira
265,2022,Primary,Private,80,95,Galiraya
266,2022,Primary,Private,90,278,Galiraya
267,2019,Secondary,Private,70,45,Kayunga Town Council
268,2018,Primary,Private,70,50,Kayunga Town Council
269,2020,Secondary,Government,29,278,Bbaale
270,2020,Secondary,Private,50,20,Kitimbwa
271,2019,Secondary,Private,50,180,Kitimbwa
272,2019,Primary,Private,60,80,Kayunga
273,2019,Secondary,Government,42,213,Busaana
274,2020,Secondary,Government,45,30,Kangulumira
275,2018,Primary,Government,10,194,Busaana
276,2021,Secondary,Government,38,203,Busaana
277,2018,Primary,Government,21,105,Kangulumira
278,2018,Secondary,Private,80,50,Galiraya
279,2019,Secondary,Private,40,50,Galiraya
280,2021,Secondary,Private,100,102,Galiraya
281,2019,Primary,Government,11,197,Bbaale
282,2019,Secondary,Private,40,70,Kangulumira
283,2020,Primary,Private,30,260,Kayunga Town Council
284,2020,Primary,Government,36,95,Kangulumira
285,2022,Secondary,Government,17,85,Busaana
286,2022,Secondary,Government,24,260,Galiraya
287,2020,Primary,Private,20,25,Kayunga
288,2018,Secondary,Government,43,345,Galiraya
289,2019,Primary,Government,36,95,Kangulumira
290,2022,Primary,Government,40,120,Kayunga Town Council
291,2021,Secondary,Government,15,105,Kayunga Town Council
292,2021,Secondary,Private,30,105,Kayunga Town Council
293,2021,Secondary,Government,42,213,Busaana
294,2020,Primary,Private,30,167,Bbaale
295,2020,Secondary,Government,49,213,Bbaale
296,2021,Secondary,Government,39,300,Galiraya
297,2021,Primary,Private,70,75,Kangulumira
298,2022,Secondary,Private,40,195,Kayunga Town Council
299,2018,Secondary,Private,60,105,Kayunga
300,2019,Secondary,Private,90,40,Bbaale
301,2021,Secondary,Private,40,180,Kayunga
302,2019,Primary,Government,23,10,Kayunga
303,2018,Primary,Private,100,25,Kitimbwa
304,2021,Primary,Government,16,80,Kayunga
305,2022,Primary,Private,20,70,Kangulumira
306,2018,Primary,Private,90,55,Kayunga Town Council
307,2020,Primary,Private,90,85,Galiraya
308,2018,Secondary,Private,20,250,Galiraya
309,2020,Secondary,Government,41,278,Busaana
310,2019,Secondary,Private,70,85,Kayunga Town Council
311,2022,Primary,Government,33,110,Kayunga Town Council
312,2019,Primary,Government,35,456,Kayunga Town Council
313,2021,Primary,Government,33,278,Kayunga
314,2019,Primary,Private,70,120,Kayunga
315,2019,Secondary,Private,80,300,Bbaale
316,2020,Primary,Private,80,250,Kangulumira
317,2019,Secondary,Government,31,203,Kangulumira
318,2018,Primary,Government,25,100,Kitimbwa
319,2018,Secondary,Private,100,167,Kitimbwa
320,2022,Secondary,Government,21,100,Busaana
321,2021,Secondary,Private,20,345,Bbaale
322,2020,Primary,Government,16,25,Busaana
323,2021,Primary,Private,60,90,Kayunga
324,2022,Primary,Private,30,100,Kayunga
325,2022,Secondary,Government,29,25,Bbaale
326,2019,Primary,Private,90,178,Kayunga Town Council
327,2021,Secondary,Government,28,75,Kayunga
328,2020,Secondary,Government,40,55,Kayunga Town Council
329,2021,Primary,Government,31,50,Kayunga Town Council
330,2022,Primary,Private,30,95,Kitimbwa
331,2018,Primary,Private,30,278,Busaana
332,2021,Secondary,Government,48,75,Kayunga Town Council
333,2020,Secondary,Government,34,456,Busaana
334,2020,Secondary,Government,18,213,Kitimbwa
335,2019,Secondary,Government,23,102,Busaana
336,2019,Secondary,Government,22,100,Kayunga
337,2020,Primary,Private,30,102,Galiraya
338,2018,Primary,Private,100,110,Galiraya
339,2022,Primary,Government,49,150,Galiraya
340,2022,Primary,Government,37,345,Kayunga
341,2021,Secondary,Private,70,500,Kitimbwa
342,2019,Secondary,Government,29,195,Kayunga Town Council
343,2022,Primary,Private,20,90,Busaana
344,2018,Secondary,Government,19,203,Kayunga
345,2021,Primary,Government,25,30,Busaana
346,2020,Primary,Government,49,25,Kayunga Town Council
347,2022,Secondary,Government,27,345,Kangulumira
348,2021,Secondary,Government,28,213,Kangulumira
349,2019,Primary,Government,33,55,Kayunga Town Council
350,2022,Primary,Private,30,20,Kitimbwa
351,2019,Primary,Government,19,345,Kangulumira
352,2018,Secondary,Private,20,95,Busaana
353,2018,Primary,Private,80,178,Galiraya
354,2021,Primary,Government,44,180,Kangulumira
355,2022,Primary,Government,12,105,Bbaale
356,2019,Secondary,Government,46,10,Bbaale
357,2022,Primary,Private,50,70,Kangulumira
358,2021,Secondary,Private,70,50,Kitimbwa
359,2018,Secondary,Government,41,30,Kangulumira
360,2022,Primary,Private,40,500,Kangulumira
361,2019,Secondary,Government,28,40,Busaana
362,2019,Primary,Private,90,199,Galiraya
363,2022,Secondary,Private,40,102,Bbaale
364,2018,Secondary,Private,50,105,Kayunga
365,2020,Secondary,Government,19,110,Bbaale
366,2022,Secondary,Private,90,500,Kayunga
367,2022,Secondary,Government,45,102,Busaana
368,2018,Primary,Government,41,80,Galiraya
369,2020,Primary,Private,80,110,Kayunga Town Council
370,2019,Secondary,Private,80,90,Bbaale
371,2018,Primary,Government,35,199,Busaana
372,2022,Secondary,Government,32,20,Bbaale
373,2022,Secondary,Government,28,456,Kayunga Town Council
374,2020,Secondary,Government,48,60,Kayunga
375,2022,Secondary,Government,39,278,Kitimbwa
376,2019,Secondary,Private,20,100,Bbaale
377,2020,Secondary,Private,70,260,Kitimbwa
378,2019,Secondary,Private,70,70,Galiraya
379,2018,Primary,Government,33,40,Bbaale
380,2018,Primary,Private,50,75,Kitimbwa
381,2022,Primary,Private,70,456,Bbaale
382,2018,Secondary,Private,20,240,Kayunga Town Council
383,2019,Secondary,Private,20,197,Kayunga Town Council
384,2022,Primary,Government,22,199,Kayunga
385,2018,Primary,Private,50,30,Galiraya
386,2019,Secondary,Government,49,260,Busaana
387,2022,Primary,Private,70,45,Galiraya
388,2022,Primary,Private,60,110,Kayunga Town Council
389,2019,Primary,Government,11,378,Kayunga
390,2018,Secondary,Government,16,300,Bbaale
391,2018,Secondary,Government,19,85,Busaana
392,2018,Secondary,Government,23,150,Kangulumira
393,2019,Secondary,Private,80,102,Kayunga Town Council
394,2021,Secondary,Private,60,70,Kayunga Town Council
395,2018,Primary,Private,30,100,Kitimbwa
396,2019,Primary,Government,36,60,Kangulumira
397,2018,Primary,Private,90,110,Kayunga Town Council
398,2021,Primary,Government,16,90,Kitimbwa
399,2021,Primary,Government,38,10,Kayunga
400,2020,Primary,Government,19,35,Galiraya
401,2021,Secondary,Private,90,250,Kayunga
402,2020,Secondary,Government,26,199,Bbaale
403,2019,Primary,Government,37,90,Kayunga Town Council
404,2021,Primary,Private,90,260,Kangulumira
405,2018,Primary,Private,20,35,Kayunga
406,2018,Secondary,Government,48,80,Kayunga
407,2022,Secondary,Private,70,345,Kitimbwa
408,2019,Secondary,Private,20,278,Kitimbwa
409,2021,Primary,Government,38,55,Kangulumira
410,2022,Primary,Government,16,180,Kayunga Town Council
411,2021,Secondary,Private,60,110,Kayunga
412,2018,Primary,Private,80,456,Kayunga Town Council
413,2019,Secondary,Government,16,213,Kayunga Town Council
414,2020,Secondary,Private,30,105,Busaana
415,2018,Secondary,Government,33,60,Bbaale
416,2021,Secondary,Private,60,45,Kayunga Town Council
417,2021,Primary,Government,17,400,Kitimbwa
418,2022,Secondary,Government,29,120,Kayunga Town Council
419,2018,Secondary,Private,30,378,Kangulumira
420,2018,Primary,Government,46,213,Kitimbwa
421,2022,Secondary,Government,19,75,Kayunga
422,2018,Primary,Government,28,195,Kitimbwa
423,2020,Primary,Private,60,120,Galiraya
424,2021,Secondary,Government,11,260,Busaana
425,2020,Primary,Government,34,378,Bbaale
426,2021,Secondary,Private,80,213,Galiraya
427,2019,Secondary,Private,40,45,Bbaale
428,2022,Secondary,Private,40,500,Kayunga
429,2020,Primary,Private,20,167,Busaana
430,2019,Secondary,Private,50,50,Busaana
431,2020,Secondary,Private,50,195,Busaana
432,2022,Secondary,Government,47,197,Kayunga Town Council
433,2022,Primary,Private,30,456,Kayunga Town Council
434,2018,Primary,Government,33,178,Kangulumira
435,2021,Primary,Private,20,85,Kangulumira
436,2021,Secondary,Private,60,400,Busaana
437,2022,Secondary,Government,19,85,Bbaale
438,2018,Secondary,Government,37,75,Kangulumira
439,2022,Primary,Private,40,300,Kitimbwa
440,2018,Primary,Government,15,30,Kangulumira
441,2022,Primary,Government,14,197,Kangulumira
442,2020,Secondary,Government,10,194,Galiraya
443,2020,Secondary,Private,80,105,Galiraya
444,2018,Secondary,Private,50,30,Kangulumira
445,2022,Secondary,Private,60,102,Kayunga
446,2021,Secondary,Government,23,100,Bbaale
447,2021,Primary,Private,70,250,Kangulumira
448,2021,Secondary,Private,100,40,Kangulumira
449,2020,Primary,Private,50,45,Bbaale
450,2019,Primary,Private,60,260,Kayunga Town Council
451,2022,Secondary,Government,42,70,Kangulumira
452,2020,Primary,Government,15,25,Kayunga
453,2019,Primary,Government,34,20,Busaana
454,2021,Primary,Government,26,40,Bbaale
455,2019,Secondary,Government,13,400,Kangulumira
456,2020,Secondary,Government,49,199,Kayunga
457,2020,Primary,Government,23,345,Bbaale
458,2021,Primary,Government,25,10,Kayunga
459,2019,Primary,Government,13,240,Galiraya
460,2022,Secondary,Private,20,194,Kayunga
461,2020,Primary,Government,14,80,Bbaale
462,2020,Primary,Private,80,55,Kitimbwa
463,2019,Primary,Private,90,120,Kayunga
464,2020,Secondary,Private,40,200,Busaana
465,2020,Secondary,Government,16,80,Galiraya
466,2021,Secondary,Government,44,65,Busaana
467,2019,Primary,Government,21,378,Kayunga
468,2021,Primary,Private,50,120,Kayunga Town Council
469,2022,Primary,Private,100,10,Kayunga
470,2020,Secondary,Government,26,278,Kitimbwa
471,2020,Secondary,Private,70,213,Bbaale
472,2018,Secondary,Private,100,167,Galiraya
473,2020,Primary,Private,40,40,Bbaale
474,2022,Secondary,Government,22,60,Kayunga
475,2021,Secondary,Private,90,199,Bbaale
476,2022,Secondary,Government,28,178,Busaana
477,2018,Secondary,Private,50,345,Kayunga Town Council
478,2022,Secondary,Government,15,102,Bbaale
479,2019,Secondary,Private,70,200,Kayunga Town Council
480,2020,Primary,Government,45,105,Kayunga
481,2018,Secondary,Private,20,178,Kangulumira
482,2018,Secondary,Government,22,95,Kayunga
483,2022,Primary,Private,90,195,Galiraya
484,2020,Primary,Private,90,456,Kayunga Town Council
485,2022,Primary,Government,39,45,Kayunga Town Council
486,2021,Secondary,Private,80,199,Busaana
487,2018,Secondary,Private,20,199,Busaana
488,2018,Secondary,Government,21,197,Kayunga Town Council
489,2021,Secondary,Private,40,300,Kitimbwa
490,2019,Secondary,Private,90,400,Kitimbwa
491,2022,Primary,Government,26,400,Kayunga
492,2022,Primary,Private,70,35,Galiraya
493,2021,Secondary,Government,38,90,Kayunga
494,2018,Primary,Private,80,240,Busaana
495,2020,Secondary,Government,15,40,Kitimbwa
496,2018,Primary,Government,30,200,Kangulumira
497,2019,Primary,Government,45,75,Kayunga
498,2020,Secondary,Private,80,110,Bbaale
499,2022,Primary,Private,20,70,Busaana
500,2021,Secondary,Government,33,260,Kayunga Town Council
501,2020,Secondary,Private,90,75,Kayunga
502,2020,Secondary,Government,35,278,Kitimbwa
503,2022,Secondary,Private,50,110,Kayunga
504,2020,Primary,Private,90,65,Kangulumira
505,2021,Primary,Government,18,55,Busaana
506,2022,Primary,Government,11,180,Galiraya
507,2019,Primary,Private,80,100,Busaana
508,2021,Primary,Government,32,199,Busaana
509,2022,Primary,Government,30,240,Galiraya
510,2020,Secondary,Government,40,45,Kayunga
511,2022,Secondary,Government,42,30,Kayunga
512,2020,Secondary,Private,60,150,Galiraya
513,2022,Primary,Private,60,278,Kangulumira
514,2019,Secondary,Government,33,70,Galiraya
515,2021,Primary,Private,90,240,Galiraya
516,2018,Primary,Private,70,10,Busaana
517,2018,Primary,Government,30,30,Bbaale
518,2020,Secondary,Private,30,120,Kayunga
519,2022,Primary,Private,90,150,Galiraya
520,2019,Secondary,Private,60,180,Bbaale
521,2020,Primary,Private,20,167,Kayunga Town Council
522,2021,Secondary,Private,40,90,Kangulumira
523,2018,Secondary,Private,60,110,Kitimbwa
524,2019,Secondary,Government,20,260,Bbaale
525,2021,Primary,Private,30,194,Kangulumira
526,2020,Primary,Private,20,65,Bbaale
527,2019,Primary,Private,90,250,Kangulumira
528,2018,Primary,Private,90,240,Galiraya
529,2022,Secondary,Government,29,20,Kayunga Town Council
530,2019,Secondary,Government,24,95,Kayunga
531,2020,Primary,Private,100,10,Galiraya
532,2018,Secondary,Private,70,20,Busaana
533,2021,Secondary,Government,31,250,Kayunga
534,2021,Primary,Private,100,300,Kayunga Town Council
535,2018,Secondary,Government,18,167,Bbaale
536,2021,Secondary,Private,90,35,Kayunga
537,2021,Primary,Government,33,197,Busaana
538,2019,Secondary,Private,80,194,Kayunga Town Council
539,2021,Primary,Private,40,30,Kayunga Town Council
540,2020,Secondary,Private,30,345,Kayunga Town Council
541,2021,Primary,Private,30,178,Busaana
542,2021,Secondary,Private,20,213,Kayunga Town Council
543,2021,Primary,Private,20,200,Busaana
544,2018,Primary,Private,90,250,Kangulumira
545,2019,Secondary,Private,90,90,Kangulumira
546,2021,Primary,Government,23,30,Kitimbwa
547,2018,Primary,Government,17,75,Bbaale
548,2018,Secondary,Government,36,260,Kayunga
549,2021,Primary,Government,27,197,Kitimbwa
550,2018,Secondary,Government,40,85,Bbaale
551,2018,Primary,Private,40,195,Kitimbwa
552,2022,Secondary,Government,32,195,Kangulumira
553,2021,Primary,Private,40,95,Kitimbwa
554,2021,Primary,Government,39,300,Busaana
555,2020,Primary,Private,100,300,Galiraya
556,2019,Secondary,Government,39,400,Kitimbwa
557,2022,Primary,Government,41,20,Kayunga
558,2020,Primary,Government,19,120,Galiraya
559,2019,Primary,Government,10,102,Kangulumira
560,2018,Primary,Private,30,100,Kangulumira
561,2021,Primary,Government,31,300,Galiraya
562,2020,Primary,Private,40,110,Kayunga
563,2021,Primary,Government,14,25,Kangulumira
564,2018,Secondary,Government,45,200,Kayunga Town Council
565,2018,Primary,Private,20,213,Galiraya
566,2022,Secondary,Private,50,55,Kayunga Town Council
567,2018,Secondary,Private,90,345,Kayunga Town Council
568,2021,Secondary,Government,19,400,Kayunga
569,2019,Secondary,Private,90,197,Busaana
570,2019,Primary,Government,17,194,Kayunga Town Council
571,2020,Secondary,Private,60,25,Kitimbwa
572,2020,Secondary,Government,24,80,Bbaale
573,2022,Secondary,Government,34,120,Kayunga Town Council
574,2021,Secondary,Government,31,240,Kitimbwa
575,2022,Secondary,Government,39,180,Bbaale
576,2019,Secondary,Private,90,95,Bbaale
577,2019,Primary,Government,23,35,Bbaale
578,2021,Primary,Private,40,110,Kitimbwa
579,2019,Primary,Private,80,45,Kayunga
580,2018,Secondary,Private,50,75,Kayunga
581,2022,Primary,Government,17,167,Bbaale
582,2021,Primary,Government,43,90,Galiraya
583,2020,Secondary,Private,60,456,Bbaale
584,2021,Secondary,Private,70,150,Bbaale
585,2019,Secondary,Private,80,102,Kitimbwa
586,2022,Primary,Private,90,20,Kayunga Town Council
587,2021,Primary,Private,60,102,Kitimbwa
588,2020,Secondary,Government,49,195,Bbaale
589,2018,Primary,Government,25,345,Kayunga Town Council
590,2019,Secondary,Government,30,20,Kitimbwa
591,2022,Primary,Government,35,102,Kayunga Town Council
592,2020,Primary,Government,12,150,Galiraya
593,2021,Primary,Private,60,199,Kangulumira
594,2021,Secondary,Government,24,65,Kangulumira
