,year,level,type,value,subcounty
283,2021,Secondary,Private,300,Biiso
284,2019,Secondary,Government,34,Kayunga Town Council
285,2019,Primary,Government,60,Mutunda
286,2020,Primary,Government,20,Busaana
287,2022,Primary,Private,67,Kitimbwa
288,2021,Secondary,Government,50,Galiraya
289,2018,Primary,Private,20,Kangulumira
290,2018,Primary,Government,22,Nazigo
291,2021,Secondary,Private,55,Nazigo
292,2022,Secondary,Private,22,Kayonza
293,2022,Secondary,Private,12,Kigumba
294,2022,Secondary,Private,5,Buliisa
295,2019,Primary,Private,300,Kayunga Town Council
296,2020,Primary,Private,55,Kitimbwa
297,2022,Secondary,Government,50,Buliisa
298,2020,Secondary,Government,50,Biiso
299,2019,Primary,Private,0,Kangulumira
300,2020,Secondary,Government,22,Kayunga Town Council
301,2018,Primary,Private,50,Mutunda
302,2020,Primary,Government,100,Biiso
303,2019,Secondary,Government,0,Kigumba
304,2020,Secondary,Government,45,Galiraya
305,2020,Primary,Government,98,Kigumba
306,2018,Primary,Private,34,Bbaale
307,2021,Primary,Government,24,Busaana
308,2019,Secondary,Private,45,Nazigo
309,2020,Secondary,Government,2,Kitimbwa
310,2019,Secondary,Private,12,Mutunda
311,2020,Primary,Private,2,Kayunga
312,2018,Secondary,Government,70,Kangulumira
313,2020,Secondary,Government,11,Kayonza
314,2022,Secondary,Private,50,Busaana
315,2021,Secondary,Private,89,Mutunda
316,2022,Secondary,Private,60,Buliisa
317,2019,Primary,Government,0,Biiso
318,2019,Primary,Government,11,Nazigo
319,2020,Secondary,Government,67,Kayunga Town Council
320,2021,Secondary,Government,98,Mutunda
321,2021,Secondary,Private,70,Kigumba
322,2020,Primary,Private,45,Kayunga Town Council
323,2020,Primary,Private,60,Bbaale
324,2021,Secondary,Government,22,Busaana
325,2021,Primary,Government,1,Buliisa
326,2018,Secondary,Private,67,Kigumba
327,2019,Secondary,Government,73,Galiraya
328,2018,Secondary,Government,73,Galiraya
329,2018,Primary,Government,22,Buliisa
330,2020,Secondary,Government,10,Kitimbwa
331,2021,Secondary,Private,11,Kigumba
332,2020,Secondary,Government,34,Biiso
333,2019,Primary,Government,344,Buliisa
334,2019,Primary,Government,344,Nazigo
335,2018,Secondary,Private,300,Buliisa
336,2018,Primary,Private,73,Bbaale
337,2022,Primary,Private,300,Kigumba
338,2020,Primary,Government,0,Nazigo
339,2021,Secondary,Government,4,Kayunga Town Council
340,2018,Primary,Government,0,Galiraya
341,2018,Secondary,Government,55,Kitimbwa
342,2022,Secondary,Government,300,Kitimbwa
343,2021,Secondary,Private,12,Biiso
344,2019,Secondary,Government,11,Nazigo
345,2018,Secondary,Private,99,Busaana
346,2018,Secondary,Private,12,Biiso
347,2018,Primary,Private,50,Kitimbwa
348,2019,Secondary,Government,100,Biiso
349,2020,Secondary,Private,24,Bbaale
350,2022,Primary,Government,11,Biiso
351,2022,Primary,Government,70,Biiso
352,2018,Primary,Private,4,Nazigo
353,2019,Primary,Private,89,Biiso
354,2019,Secondary,Government,98,Kayunga
355,2020,Secondary,Government,100,Bbaale
356,2019,Primary,Private,55,Kayunga Town Council
357,2021,Primary,Private,24,Kitimbwa
358,2022,Secondary,Government,67,Nazigo
359,2021,Primary,Private,12,Bbaale
360,2021,Primary,Government,20,Buliisa
361,2020,Primary,Government,45,Galiraya
362,2022,Primary,Private,89,Kayunga
363,2022,Primary,Government,13,Busaana
364,2020,Secondary,Private,4,Kangulumira
365,2022,Primary,Government,4,Kigumba
366,2019,Primary,Government,67,Buliisa
367,2020,Secondary,Government,45,Bbaale
368,2021,Secondary,Government,67,Kigumba
369,2018,Primary,Private,45,Kangulumira
370,2021,Primary,Government,99,Kigumba
371,2021,Secondary,Government,70,Busaana
372,2019,Primary,Private,34,Kigumba
373,2019,Primary,Private,70,Buliisa
374,2020,Secondary,Private,2,Bbaale
375,2019,Primary,Government,99,Kayonza
376,2019,Primary,Government,34,Biiso
377,2018,Primary,Private,1,Kayonza
378,2019,Secondary,Private,20,Kitimbwa
379,2021,Secondary,Private,60,Nazigo
380,2019,Secondary,Private,20,Galiraya
381,2022,Secondary,Government,22,Kitimbwa
382,2020,Primary,Private,13,Kayunga
383,2020,Primary,Private,98,Biiso
384,2019,Primary,Government,40,Biiso
385,2018,Primary,Private,8,Mutunda
386,2020,Primary,Government,13,Busaana
387,2019,Primary,Government,11,Kayunga
388,2020,Primary,Private,89,Biiso
389,2018,Secondary,Government,34,Kayonza
390,2019,Primary,Government,20,Kayonza
391,2019,Secondary,Government,34,Kitimbwa
392,2019,Primary,Private,0,Mutunda
393,2018,Primary,Private,55,Buliisa
394,2019,Secondary,Private,2,Kitimbwa
395,2018,Primary,Private,4,Bbaale
396,2020,Secondary,Government,99,Buliisa
397,2022,Secondary,Private,20,Kitimbwa
398,2020,Secondary,Government,4,Buliisa
399,2018,Primary,Government,5,Bbaale
400,2018,Secondary,Private,24,Kayunga
401,2022,Secondary,Private,5,Mutunda
402,2020,Primary,Government,20,Biiso
403,2021,Secondary,Government,12,Biiso
404,2018,Primary,Government,344,Biiso
405,2021,Secondary,Private,60,Kayunga
406,2018,Primary,Private,24,Nazigo
407,2022,Primary,Government,10,Kayunga Town Council
408,2019,Secondary,Government,99,Biiso
409,2021,Secondary,Government,89,Nazigo
410,2018,Primary,Private,50,Kigumba
411,2021,Secondary,Private,56,Nazigo
412,2021,Secondary,Government,300,Kayunga
413,2022,Secondary,Government,56,Nazigo
414,2022,Primary,Government,60,Kayunga Town Council
415,2018,Primary,Government,56,Kangulumira
416,2018,Secondary,Private,40,Busaana
417,2021,Secondary,Private,11,Bbaale
418,2020,Primary,Private,98,Galiraya
419,2019,Primary,Government,55,Kayonza
420,2020,Primary,Private,40,Kayunga
421,2018,Primary,Government,1,Busaana
422,2022,Primary,Government,20,Buliisa
423,2020,Primary,Government,10,Buliisa
424,2022,Primary,Private,2,Kayunga
425,2020,Primary,Government,4,Galiraya
426,2022,Primary,Government,11,Busaana
427,2018,Secondary,Government,99,Kigumba
428,2018,Primary,Government,24,Busaana
429,2020,Secondary,Private,24,Nazigo
430,2022,Primary,Private,13,Nazigo
431,2020,Primary,Government,98,Buliisa
432,2018,Secondary,Private,56,Kayonza
433,2022,Primary,Government,5,Galiraya
434,2018,Primary,Government,34,Mutunda
435,2022,Secondary,Government,4,Buliisa
436,2022,Primary,Government,12,Bbaale
437,2021,Secondary,Government,22,Kigumba
438,2021,Primary,Government,20,Mutunda
439,2018,Primary,Government,20,Kayunga Town Council
440,2021,Secondary,Government,13,Kayunga
441,2019,Primary,Government,67,Biiso
442,2021,Secondary,Private,89,Bbaale
443,2021,Primary,Government,56,Kayunga Town Council
444,2022,Primary,Private,55,Kangulumira
445,2021,Secondary,Government,300,Biiso
446,2020,Primary,Government,12,Kayunga Town Council
447,2019,Primary,Private,2,Kigumba
448,2019,Primary,Private,300,Biiso
449,2018,Secondary,Private,4,Kayunga Town Council
450,2021,Primary,Government,13,Nazigo
451,2019,Primary,Private,8,Busaana
452,2019,Primary,Government,55,Buliisa
453,2018,Secondary,Government,10,Kayunga Town Council
454,2018,Primary,Government,40,Kayunga Town Council
455,2020,Primary,Private,10,Kitimbwa
456,2018,Secondary,Private,20,Busaana
457,2020,Secondary,Government,73,Bbaale
458,2019,Primary,Government,100,Busaana
459,2019,Secondary,Private,73,Kayunga
460,2020,Primary,Government,4,Galiraya
461,2021,Primary,Government,98,Buliisa
462,2021,Primary,Private,50,Kigumba
463,2021,Primary,Government,22,Galiraya
464,2022,Secondary,Government,8,Kayunga Town Council
465,2019,Secondary,Private,99,Buliisa
466,2022,Primary,Government,20,Mutunda
467,2021,Secondary,Private,12,Kigumba
468,2022,Secondary,Government,40,Biiso
469,2019,Primary,Government,20,Kangulumira
470,2019,Secondary,Government,1,Kayunga Town Council
471,2022,Primary,Government,55,Biiso
472,2019,Primary,Private,5,Mutunda
473,2019,Secondary,Government,98,Kayunga Town Council
474,2022,Primary,Private,22,Busaana
475,2019,Secondary,Private,100,Bbaale
476,2021,Secondary,Private,24,Kangulumira
477,2019,Secondary,Private,12,Kigumba
478,2020,Secondary,Private,45,Mutunda
479,2020,Secondary,Private,1,Kayonza
480,2018,Primary,Government,50,Mutunda
481,2019,Secondary,Government,34,Kigumba
482,2022,Primary,Private,40,Busaana
483,2022,Primary,Government,60,Mutunda
484,2019,Secondary,Private,56,Mutunda
485,2018,Primary,Private,22,Bbaale
486,2021,Primary,Government,70,Busaana
487,2021,Primary,Private,98,Kayonza
488,2018,Secondary,Government,89,Kitimbwa
489,2019,Primary,Government,344,Buliisa
490,2020,Primary,Government,56,Busaana
491,2018,Secondary,Government,8,Buliisa
492,2020,Primary,Private,24,Busaana
493,2022,Primary,Government,45,Kayonza
494,2021,Primary,Private,1,Biiso
495,2019,Secondary,Government,300,Kayunga Town Council
496,2021,Secondary,Government,13,Busaana
497,2018,Primary,Private,70,Kayunga
498,2018,Secondary,Private,5,Busaana
499,2019,Secondary,Government,12,Mutunda
500,2020,Primary,Private,20,Nazigo
501,2020,Secondary,Private,5,Kitimbwa
502,2019,Primary,Government,73,Kigumba
503,2021,Secondary,Government,11,Kigumba
504,2022,Primary,Private,24,Bbaale
505,2018,Primary,Government,22,Kayunga
506,2020,Secondary,Private,100,Kigumba
507,2019,Secondary,Private,0,Kayunga
508,2021,Secondary,Government,50,Kayunga Town Council
509,2022,Primary,Private,5,Kigumba
510,2019,Secondary,Private,73,Kayunga
511,2020,Secondary,Private,8,Mutunda
512,2019,Primary,Private,73,Kayonza
513,2022,Primary,Private,100,Kayunga
514,2022,Primary,Private,98,Kitimbwa
515,2020,Secondary,Government,1,Bbaale
516,2020,Secondary,Private,99,Kitimbwa
517,2021,Secondary,Government,5,Buliisa
518,2022,Secondary,Private,60,Galiraya
519,2021,Secondary,Private,20,Mutunda
520,2018,Secondary,Private,5,Busaana
521,2018,Primary,Government,0,Galiraya
522,2022,Primary,Government,5,Kayonza
523,2019,Primary,Private,67,Bbaale
524,2020,Secondary,Government,4,Busaana
525,2018,Secondary,Private,34,Kayunga
526,2018,Secondary,Private,0,Kigumba
527,2020,Primary,Government,73,Galiraya
528,2022,Secondary,Government,45,Nazigo
529,2019,Secondary,Private,70,Kitimbwa
530,2022,Primary,Government,12,Nazigo
531,2020,Primary,Private,4,Kayonza
532,2022,Secondary,Government,40,Kangulumira
533,2018,Primary,Private,60,Kigumba
534,2019,Primary,Government,56,Biiso
535,2019,Primary,Government,67,Kayonza
536,2022,Primary,Government,34,Buliisa
537,2019,Secondary,Private,70,Kitimbwa
538,2019,Secondary,Private,45,Busaana
539,2019,Primary,Government,22,Kigumba
540,2020,Secondary,Private,89,Kayunga Town Council
541,2022,Secondary,Government,40,Kayunga Town Council
542,2018,Secondary,Private,20,Nazigo
543,2021,Secondary,Private,67,Kangulumira
544,2019,Primary,Private,56,Nazigo
545,2018,Primary,Government,1,Kayonza
546,2018,Primary,Private,0,Biiso
547,2022,Secondary,Private,13,Busaana
548,2022,Primary,Private,300,Mutunda
549,2022,Primary,Government,98,Kayunga
550,2020,Primary,Private,2,Kayonza
551,2022,Secondary,Government,60,Biiso
552,2021,Primary,Private,8,Buliisa
553,2020,Secondary,Government,56,Busaana
554,2020,Primary,Private,344,Kayunga
555,2020,Primary,Private,99,Nazigo
556,2018,Secondary,Government,89,Biiso
557,2021,Secondary,Government,0,Bbaale
558,2020,Secondary,Government,55,Kayunga
559,2019,Secondary,Government,50,Nazigo
560,2021,Primary,Private,12,Nazigo
561,2022,Secondary,Private,10,Kangulumira
562,2018,Secondary,Private,98,Nazigo
563,2022,Primary,Private,98,Kangulumira
564,2018,Secondary,Private,11,Kayunga
565,2021,Secondary,Private,22,Kitimbwa
566,2018,Primary,Government,2,Busaana
567,2019,Primary,Private,99,Mutunda
568,2021,Secondary,Private,24,Kitimbwa
569,2021,Secondary,Private,2,Busaana
570,2020,Primary,Private,40,Galiraya
571,2018,Primary,Government,40,Kangulumira
572,2018,Secondary,Government,0,Kangulumira
573,2021,Secondary,Private,11,Bbaale
574,2018,Secondary,Private,344,Kitimbwa
575,2022,Secondary,Government,11,Kangulumira
576,2022,Primary,Private,73,Busaana
577,2021,Primary,Government,99,Kayunga
578,2021,Secondary,Private,22,Kigumba
579,2018,Secondary,Private,24,Kayonza
580,2020,Secondary,Private,11,Kitimbwa
581,2021,Primary,Private,1,Kayonza
582,2021,Primary,Government,11,Kayunga
583,2021,Secondary,Government,67,Kigumba
584,2021,Secondary,Private,0,Kayunga Town Council
585,2019,Primary,Government,13,Kayonza
586,2022,Primary,Government,1,Mutunda
587,2022,Primary,Private,11,Busaana
588,2022,Primary,Private,70,Bbaale
589,2020,Secondary,Government,20,Bbaale
590,2018,Secondary,Government,13,Kitimbwa
591,2019,Primary,Private,0,Biiso
592,2018,Primary,Private,100,Kangulumira
593,2021,Secondary,Government,55,Mutunda
594,2021,Secondary,Government,70,Bbaale
595,2018,Secondary,Private,67,Galiraya
596,2022,Secondary,Private,99,Kangulumira
597,2019,Primary,Government,98,Buliisa
598,2021,Secondary,Private,20,Kayunga
599,2019,Primary,Government,0,Busaana
600,2020,Primary,Government,20,Mutunda
601,2019,Secondary,Private,89,Kangulumira
602,2021,Secondary,Private,70,Mutunda
603,2020,Primary,Private,55,Galiraya
604,2021,Secondary,Government,60,Kitimbwa
605,2020,Secondary,Private,56,Kangulumira
606,2018,Secondary,Government,40,Biiso
607,2019,Primary,Private,2,Buliisa
608,2021,Primary,Government,40,Kayunga
609,2020,Primary,Government,34,Bbaale
610,2020,Primary,Government,67,Kayunga
611,2018,Secondary,Private,13,Kitimbwa
612,2018,Primary,Private,1,Kitimbwa
613,2018,Secondary,Government,73,Bbaale
614,2021,Primary,Private,5,Kayonza
615,2019,Secondary,Government,50,Nazigo
616,2021,Primary,Private,12,Kigumba
617,2018,Primary,Government,89,Bbaale
618,2019,Secondary,Private,5,Kangulumira
619,2020,Primary,Government,24,Kayunga
620,2018,Primary,Government,5,Biiso
621,2018,Primary,Private,73,Kangulumira
622,2018,Secondary,Private,2,Kayunga
623,2018,Secondary,Private,5,Kayunga
624,2022,Secondary,Government,70,Kayunga Town Council
625,2019,Primary,Private,70,Bbaale
626,2019,Primary,Government,100,Kitimbwa
627,2020,Secondary,Government,10,Kitimbwa
628,2018,Primary,Government,56,Biiso
629,2021,Secondary,Private,22,Kayunga
630,2020,Secondary,Private,45,Biiso
631,2018,Secondary,Government,8,Kayunga
632,2019,Primary,Government,20,Kayunga Town Council
633,2019,Primary,Government,55,Kayonza
634,2022,Primary,Private,13,Biiso
635,2018,Secondary,Private,34,Kayunga Town Council
636,2018,Primary,Government,70,Kitimbwa
637,2021,Primary,Private,2,Kangulumira
638,2022,Primary,Government,89,Kigumba
639,2021,Primary,Government,60,Kayunga Town Council
640,2018,Primary,Private,89,Kigumba
641,2022,Primary,Private,1,Busaana
642,2022,Secondary,Private,50,Biiso
643,2018,Primary,Private,45,Buliisa
644,2018,Secondary,Government,20,Nazigo
645,2022,Primary,Government,45,Kayonza
646,2019,Secondary,Government,50,Busaana
647,2019,Secondary,Government,300,Kangulumira
648,2018,Secondary,Private,4,Kayunga
649,2018,Primary,Private,1,Buliisa
650,2020,Primary,Private,8,Kayonza
651,2020,Secondary,Private,10,Mutunda
652,2020,Primary,Government,100,Kayunga
653,2021,Secondary,Private,344,Nazigo
654,2018,Primary,Government,73,Buliisa
655,2020,Primary,Government,40,Kitimbwa
656,2022,Primary,Private,100,Kigumba
657,2020,Primary,Private,89,Kangulumira
658,2021,Secondary,Government,20,Kayunga
659,2021,Primary,Government,8,Mutunda
660,2021,Primary,Government,5,Bbaale
661,2018,Primary,Government,2,Kayunga Town Council
662,2022,Primary,Government,2,Buliisa
663,2019,Primary,Private,50,Galiraya
664,2019,Primary,Government,0,Nazigo
665,2022,Primary,Private,40,Kayunga
666,2020,Primary,Government,1,Mutunda
667,2020,Primary,Government,10,Buliisa
668,2022,Primary,Private,20,Kigumba
