,year,level,type,value,subcounty
103,2022,Secondary,Government,34,Pakanyi
104,2020,Secondary,Government,43,Masindi Town Council
105,2021,Primary,Government,9,Masindi Town Council
106,2021,Secondary,Private,55,Kimengo
107,2018,Secondary,Government,9,Bwinjanga
108,2020,Primary,Government,33,Pakanyi
109,2021,Secondary,Government,34,Bwinjanga
110,2020,Primary,Private,18,Miirya
111,2022,Primary,Government,43,Bwinjanga
112,2019,Secondary,Government,11,Pakanyi
113,2018,Primary,Government,38,Kimengo
114,2020,Primary,Government,2,Masindi Town Council
115,2018,Primary,Government,50,Masindi Town Council
116,2019,Primary,Private,8,Kimengo
117,2018,Secondary,Private,10,Karujubu
118,2018,Secondary,Private,2,Karujubu
119,2020,Secondary,Private,36,Kimengo
120,2022,Secondary,Government,12,Kimengo
121,2019,Secondary,Private,30,Karujubu
122,2020,Secondary,Government,36,Nyangahaya
123,2021,Primary,Government,43,Nyangahaya
124,2019,Secondary,Government,13,Kimengo
125,2020,Primary,Private,2,Pakanyi
126,2021,Secondary,Government,9,Karujubu
127,2022,Secondary,Private,12,Miirya
128,2021,Primary,Private,19,Pakanyi
129,2020,Primary,Private,36,Miirya
130,2022,Primary,Government,13,Pakanyi
131,2018,Secondary,Government,34,Masindi Town Council
132,2018,Primary,Government,30,Kimengo
133,2022,Primary,Government,13,Nyangahaya
134,2022,Secondary,Private,10,Miirya
135,2019,Secondary,Government,11,Nyangahaya
136,2021,Secondary,Government,36,Pakanyi
137,2021,Secondary,Private,5,Kimengo
138,2019,Secondary,Private,43,Nyangahaya
139,2022,Secondary,Private,10,Bwinjanga
140,2018,Primary,Government,12,Nyangahaya
141,2019,Primary,Government,38,Karujubu
142,2018,Primary,Government,33,Bwinjanga
143,2021,Primary,Private,13,Kimengo
144,2021,Primary,Private,41,Karujubu
145,2021,Primary,Government,11,Pakanyi
146,2020,Primary,Government,12,Nyangahaya
147,2022,Primary,Private,15,Karujubu
148,2019,Secondary,Government,36,Miirya
149,2021,Primary,Government,33,Pakanyi
150,2020,Primary,Government,15,Kimengo
151,2021,Primary,Private,33,Kimengo
152,2019,Secondary,Government,43,Karujubu
153,2019,Primary,Government,30,Kimengo
154,2021,Secondary,Private,38,Nyangahaya
155,2020,Secondary,Private,20,Pakanyi
156,2019,Secondary,Private,36,Karujubu
157,2020,Secondary,Private,50,Karujubu
158,2022,Secondary,Private,19,Bwinjanga
159,2020,Primary,Government,9,Nyangahaya
160,2020,Secondary,Government,10,Miirya
161,2018,Secondary,Government,5,Miirya
162,2021,Primary,Private,8,Miirya
163,2018,Secondary,Private,36,Kimengo
164,2020,Primary,Government,13,Karujubu
165,2022,Primary,Government,2,Bwinjanga
166,2019,Primary,Government,41,Bwinjanga
167,2021,Primary,Private,38,Kimengo
168,2021,Secondary,Private,13,Miirya
169,2021,Primary,Government,41,Pakanyi
170,2020,Primary,Government,13,Masindi Town Council
171,2022,Primary,Government,55,Miirya
172,2019,Secondary,Private,33,Bwinjanga
173,2020,Secondary,Private,19,Karujubu
174,2019,Primary,Private,30,Karujubu
175,2020,Secondary,Government,55,Masindi Town Council
176,2021,Secondary,Government,38,Bwinjanga
177,2021,Secondary,Private,50,Kimengo
178,2022,Secondary,Government,15,Miirya
179,2020,Secondary,Private,9,Miirya
180,2019,Secondary,Government,38,Kimengo
181,2020,Secondary,Private,19,Bwinjanga
182,2022,Secondary,Government,40,Masindi Town Council
183,2019,Primary,Private,18,Masindi Town Council
184,2022,Secondary,Private,38,Karujubu
185,2018,Secondary,Government,38,Miirya
186,2018,Secondary,Private,15,Bwinjanga
187,2022,Secondary,Government,50,Nyangahaya
188,2018,Secondary,Government,50,Nyangahaya
189,2020,Secondary,Government,15,Pakanyi
190,2020,Primary,Private,11,Miirya
191,2018,Secondary,Government,43,Pakanyi
192,2020,Primary,Private,10,Karujubu
193,2018,Secondary,Government,8,Bwinjanga
194,2019,Secondary,Government,5,Bwinjanga
195,2019,Secondary,Government,43,Nyangahaya
196,2018,Secondary,Private,33,Nyangahaya
197,2019,Secondary,Private,8,Kimengo
198,2018,Secondary,Private,55,Kimengo
199,2019,Secondary,Government,36,Pakanyi
200,2019,Secondary,Private,13,Kimengo
201,2020,Secondary,Private,10,Bwinjanga
202,2020,Primary,Private,55,Miirya
203,2020,Secondary,Government,13,Miirya
204,2022,Primary,Government,36,Kimengo
205,2020,Secondary,Private,20,Nyangahaya
206,2019,Primary,Private,2,Karujubu
207,2022,Secondary,Government,33,Miirya
208,2021,Secondary,Government,38,Kimengo
209,2020,Secondary,Private,50,Nyangahaya
210,2018,Primary,Government,18,Bwinjanga
211,2020,Primary,Private,55,Pakanyi
212,2022,Primary,Government,12,Bwinjanga
213,2022,Primary,Government,8,Miirya
214,2019,Primary,Private,5,Pakanyi
215,2021,Secondary,Government,12,Nyangahaya
216,2018,Primary,Government,15,Nyangahaya
217,2021,Secondary,Government,50,Bwinjanga
218,2020,Secondary,Private,10,Karujubu
219,2022,Primary,Private,18,Miirya
220,2020,Secondary,Private,38,Karujubu
221,2019,Secondary,Government,11,Kimengo
222,2021,Primary,Government,36,Masindi Town Council
223,2020,Primary,Private,30,Karujubu
224,2018,Secondary,Government,9,Pakanyi
225,2019,Secondary,Government,18,Pakanyi
226,2018,Primary,Private,38,Pakanyi
227,2020,Primary,Private,15,Bwinjanga
228,2020,Secondary,Government,12,Nyangahaya
229,2022,Secondary,Private,30,Karujubu
230,2022,Primary,Private,5,Bwinjanga
231,2021,Primary,Government,5,Masindi Town Council
232,2019,Secondary,Government,18,Nyangahaya
233,2020,Primary,Private,11,Masindi Town Council
234,2021,Primary,Private,8,Bwinjanga
235,2019,Secondary,Government,34,Nyangahaya
236,2022,Primary,Private,30,Nyangahaya
237,2022,Primary,Private,19,Miirya
238,2022,Secondary,Private,13,Masindi Town Council
239,2020,Primary,Government,10,Pakanyi
240,2022,Secondary,Government,2,Bwinjanga
241,2019,Secondary,Government,34,Nyangahaya
242,2021,Primary,Government,21,Miirya
243,2022,Primary,Private,55,Pakanyi
244,2020,Primary,Private,40,Masindi Town Council
245,2022,Secondary,Government,11,Pakanyi
246,2022,Secondary,Government,34,Kimengo
247,2020,Primary,Government,33,Miirya
248,2021,Primary,Government,8,Kimengo
249,2021,Primary,Government,55,Kimengo
250,2021,Primary,Government,13,Pakanyi
251,2021,Primary,Private,15,Bwinjanga
252,2021,Primary,Private,15,Kimengo
253,2022,Primary,Private,36,Nyangahaya
254,2019,Primary,Government,13,Nyangahaya
255,2019,Secondary,Government,10,Karujubu
256,2022,Primary,Government,18,Pakanyi
257,2018,Secondary,Government,50,Miirya
258,2021,Secondary,Private,34,Nyangahaya
259,2022,Primary,Private,8,Bwinjanga
260,2021,Secondary,Private,5,Nyangahaya
261,2022,Primary,Government,30,Miirya
262,2022,Secondary,Private,41,Bwinjanga
263,2022,Primary,Government,36,Pakanyi
264,2021,Secondary,Private,13,Bwinjanga
265,2020,Primary,Private,50,Kimengo
266,2022,Secondary,Private,10,Nyangahaya
267,2020,Secondary,Private,40,Nyangahaya
268,2021,Secondary,Government,55,Pakanyi
269,2019,Primary,Government,15,Nyangahaya
270,2022,Primary,Private,5,Masindi Town Council
271,2021,Secondary,Government,11,Masindi Town Council
272,2022,Primary,Government,34,Karujubu
273,2020,Secondary,Government,13,Nyangahaya
274,2018,Primary,Private,38,Masindi Town Council
275,2018,Secondary,Government,40,Pakanyi
276,2018,Primary,Private,55,Miirya
277,2021,Primary,Private,36,Masindi Town Council
278,2018,Secondary,Private,55,Bwinjanga
279,2019,Primary,Private,40,Miirya
280,2019,Primary,Private,10,Karujubu
281,2019,Primary,Government,33,Bwinjanga
282,2020,Secondary,Private,13,Miirya
283,2019,Primary,Private,36,Bwinjanga
284,2021,Secondary,Government,20,Kimengo
285,2019,Secondary,Government,34,Pakanyi
286,2021,Secondary,Private,19,Miirya
287,2018,Primary,Private,9,Karujubu
288,2020,Primary,Private,38,Miirya
289,2020,Secondary,Government,30,Bwinjanga
290,2021,Primary,Private,13,Kimengo
291,2019,Primary,Private,21,Masindi Town Council
292,2022,Primary,Private,21,Kimengo
293,2022,Secondary,Private,9,Pakanyi
294,2021,Primary,Government,36,Pakanyi
295,2021,Primary,Private,20,Pakanyi
296,2021,Primary,Private,30,Karujubu
297,2018,Primary,Government,10,Bwinjanga
298,2018,Secondary,Private,5,Bwinjanga
299,2018,Secondary,Government,40,Kimengo
300,2022,Primary,Private,10,Karujubu
301,2022,Primary,Government,13,Masindi Town Council
302,2021,Secondary,Government,5,Karujubu
303,2022,Secondary,Private,9,Miirya
304,2018,Primary,Government,30,Kimengo
305,2021,Secondary,Private,8,Masindi Town Council
306,2019,Secondary,Government,40,Masindi Town Council
307,2020,Secondary,Private,41,Nyangahaya
308,2019,Primary,Private,18,Pakanyi
309,2022,Primary,Private,30,Miirya
310,2019,Primary,Private,9,Miirya
311,2022,Primary,Government,30,Pakanyi
312,2020,Primary,Private,36,Nyangahaya
313,2018,Secondary,Private,9,Bwinjanga
314,2018,Primary,Government,2,Nyangahaya
315,2020,Secondary,Government,34,Karujubu
316,2022,Primary,Government,36,Masindi Town Council
317,2019,Primary,Private,40,Masindi Town Council
318,2018,Secondary,Government,10,Pakanyi
319,2018,Primary,Government,11,Masindi Town Council
320,2018,Primary,Private,20,Nyangahaya
321,2020,Secondary,Government,34,Masindi Town Council
322,2022,Secondary,Private,34,Masindi Town Council
323,2018,Secondary,Private,9,Bwinjanga
324,2019,Primary,Government,2,Karujubu
325,2020,Secondary,Government,10,Kimengo
326,2020,Primary,Government,34,Nyangahaya
327,2021,Secondary,Private,33,Miirya
328,2019,Secondary,Government,19,Pakanyi
329,2019,Secondary,Private,18,Karujubu
330,2022,Primary,Government,20,Pakanyi
331,2019,Secondary,Private,33,Pakanyi
332,2018,Secondary,Government,10,Nyangahaya
333,2021,Primary,Private,43,Karujubu
334,2019,Primary,Private,40,Miirya
335,2018,Primary,Government,13,Nyangahaya
336,2019,Secondary,Private,33,Miirya
337,2018,Secondary,Government,30,Pakanyi
338,2020,Primary,Government,50,Kimengo
339,2018,Secondary,Private,21,Miirya
340,2019,Secondary,Government,8,Miirya
341,2021,Primary,Government,40,Masindi Town Council
342,2021,Secondary,Government,8,Kimengo
343,2018,Secondary,Private,55,Bwinjanga
344,2019,Secondary,Government,18,Nyangahaya
345,2022,Secondary,Private,9,Miirya
346,2020,Primary,Private,30,Karujubu
347,2020,Secondary,Private,40,Karujubu
348,2018,Primary,Private,9,Karujubu
349,2022,Secondary,Government,50,Pakanyi
350,2018,Secondary,Government,38,Kimengo
351,2020,Secondary,Private,12,Masindi Town Council
352,2018,Secondary,Government,55,Pakanyi
353,2022,Secondary,Government,12,Pakanyi
354,2021,Primary,Government,2,Karujubu
355,2019,Secondary,Government,8,Bwinjanga
356,2019,Primary,Government,30,Miirya
357,2018,Primary,Government,9,Masindi Town Council
358,2020,Primary,Private,50,Kimengo
359,2018,Secondary,Private,36,Kimengo
360,2020,Primary,Government,30,Karujubu
361,2020,Primary,Government,2,Pakanyi
362,2022,Primary,Government,34,Karujubu
363,2022,Primary,Private,36,Kimengo
364,2019,Secondary,Government,33,Nyangahaya
365,2020,Primary,Private,20,Miirya
366,2020,Primary,Private,15,Miirya
367,2021,Primary,Private,12,Bwinjanga
368,2022,Primary,Private,30,Kimengo
369,2020,Primary,Private,18,Bwinjanga
370,2021,Primary,Government,33,Pakanyi
371,2022,Primary,Private,18,Karujubu
372,2019,Secondary,Private,11,Karujubu
373,2019,Primary,Private,36,Kimengo
374,2020,Primary,Private,34,Nyangahaya
375,2020,Primary,Government,9,Karujubu
376,2019,Secondary,Government,20,Karujubu
377,2020,Secondary,Government,30,Kimengo
378,2021,Secondary,Government,33,Pakanyi
379,2019,Primary,Government,36,Masindi Town Council
380,2020,Secondary,Government,8,Nyangahaya
381,2018,Secondary,Private,20,Nyangahaya
382,2019,Primary,Government,8,Kimengo
383,2018,Secondary,Private,5,Bwinjanga
384,2021,Primary,Government,10,Masindi Town Council
385,2019,Secondary,Government,55,Bwinjanga
386,2018,Primary,Private,13,Kimengo
387,2018,Primary,Private,30,Bwinjanga
388,2019,Secondary,Government,20,Bwinjanga
389,2020,Secondary,Private,10,Nyangahaya
390,2022,Secondary,Government,21,Pakanyi
391,2019,Secondary,Private,30,Bwinjanga
392,2020,Primary,Government,18,Kimengo
393,2022,Secondary,Private,19,Miirya
394,2021,Primary,Private,55,Masindi Town Council
395,2018,Secondary,Government,9,Masindi Town Council
396,2019,Primary,Private,19,Karujubu
397,2021,Secondary,Private,36,Karujubu
398,2022,Primary,Private,12,Miirya
399,2021,Secondary,Government,55,Bwinjanga
400,2019,Secondary,Private,11,Bwinjanga
401,2018,Secondary,Private,18,Bwinjanga
402,2021,Primary,Government,9,Pakanyi
403,2021,Primary,Government,5,Bwinjanga
404,2022,Secondary,Government,10,Bwinjanga
405,2020,Primary,Government,41,Karujubu
406,2022,Secondary,Private,5,Miirya
407,2018,Secondary,Government,38,Karujubu
408,2019,Secondary,Government,11,Masindi Town Council
409,2020,Secondary,Government,36,Bwinjanga
410,2021,Secondary,Government,15,Karujubu
411,2022,Primary,Private,33,Bwinjanga
412,2021,Secondary,Private,19,Bwinjanga
413,2018,Secondary,Private,11,Karujubu
414,2021,Primary,Government,50,Bwinjanga
415,2019,Secondary,Private,20,Miirya
416,2022,Secondary,Private,5,Pakanyi
417,2018,Primary,Government,20,Masindi Town Council
418,2018,Secondary,Government,33,Kimengo
419,2021,Secondary,Private,8,Miirya
420,2018,Primary,Private,2,Nyangahaya
421,2022,Secondary,Government,5,Bwinjanga
422,2022,Secondary,Government,9,Pakanyi
423,2021,Secondary,Government,43,Bwinjanga
424,2020,Secondary,Government,38,Miirya
425,2022,Secondary,Government,55,Pakanyi
426,2020,Primary,Government,15,Kimengo
427,2018,Secondary,Private,34,Kimengo
428,2019,Secondary,Private,5,Bwinjanga
429,2022,Primary,Government,10,Kimengo
430,2018,Primary,Private,36,Nyangahaya
431,2020,Secondary,Private,20,Pakanyi
432,2020,Secondary,Government,9,Pakanyi
433,2020,Primary,Private,41,Miirya
434,2018,Secondary,Government,21,Karujubu
435,2020,Primary,Government,12,Miirya
436,2021,Secondary,Private,34,Kimengo
437,2022,Primary,Government,19,Miirya
438,2020,Primary,Private,15,Pakanyi
439,2018,Secondary,Private,2,Kimengo
440,2019,Secondary,Private,5,Pakanyi
441,2019,Primary,Private,43,Nyangahaya
442,2022,Primary,Government,41,Bwinjanga
443,2022,Primary,Government,21,Bwinjanga
444,2022,Primary,Government,10,Karujubu
445,2018,Primary,Private,34,Nyangahaya
446,2022,Secondary,Government,18,Kimengo
447,2021,Secondary,Private,12,Kimengo
448,2021,Secondary,Private,8,Kimengo
449,2021,Secondary,Private,19,Karujubu
450,2022,Primary,Private,9,Kimengo
451,2019,Primary,Private,40,Bwinjanga
452,2021,Primary,Government,13,Nyangahaya
453,2019,Secondary,Private,11,Miirya
454,2020,Primary,Private,18,Bwinjanga
455,2018,Primary,Private,38,Masindi Town Council
456,2022,Primary,Government,5,Miirya
457,2019,Primary,Government,30,Miirya
458,2020,Secondary,Private,50,Kimengo
459,2020,Secondary,Government,30,Kimengo
460,2019,Primary,Government,34,Miirya
461,2022,Secondary,Government,21,Nyangahaya
462,2022,Primary,Private,2,Karujubu
463,2019,Secondary,Government,55,Bwinjanga
464,2018,Secondary,Government,43,Bwinjanga
465,2019,Primary,Government,20,Miirya
466,2018,Primary,Private,55,Bwinjanga
467,2021,Secondary,Private,8,Miirya
468,2019,Secondary,Private,21,Masindi Town Council
469,2021,Primary,Private,18,Masindi Town Council
470,2019,Primary,Private,50,Kimengo
471,2019,Primary,Private,50,Kimengo
472,2021,Secondary,Government,55,Bwinjanga
473,2021,Secondary,Private,18,Nyangahaya
474,2021,Secondary,Private,43,Bwinjanga
475,2021,Secondary,Government,41,Karujubu
476,2021,Secondary,Government,36,Miirya
477,2019,Secondary,Private,8,Kimengo
478,2020,Secondary,Private,12,Nyangahaya
479,2018,Primary,Government,50,Karujubu
480,2018,Primary,Private,2,Nyangahaya
481,2022,Primary,Private,2,Kimengo
482,2020,Primary,Private,41,Masindi Town Council
483,2022,Primary,Private,40,Bwinjanga
484,2020,Secondary,Government,15,Kimengo
485,2021,Secondary,Government,21,Nyangahaya
486,2022,Primary,Government,11,Nyangahaya
487,2018,Primary,Private,20,Miirya
488,2019,Primary,Government,43,Bwinjanga
489,2020,Secondary,Government,36,Kimengo
490,2021,Primary,Government,13,Kimengo
491,2020,Primary,Government,33,Karujubu
492,2020,Secondary,Government,50,Karujubu
493,2019,Primary,Private,55,Miirya
494,2019,Primary,Private,11,Nyangahaya
495,2021,Primary,Private,2,Kimengo
496,2019,Secondary,Government,30,Pakanyi
497,2019,Primary,Private,21,Kimengo
498,2020,Secondary,Government,8,Masindi Town Council
499,2019,Primary,Government,12,Masindi Town Council
500,2018,Primary,Private,40,Masindi Town Council
501,2022,Primary,Private,33,Masindi Town Council
502,2021,Secondary,Private,19,Pakanyi
503,2020,Primary,Government,43,Kimengo
504,2021,Secondary,Private,12,Masindi Town Council
505,2022,Primary,Private,15,Bwinjanga
506,2019,Secondary,Government,34,Kimengo
507,2018,Secondary,Private,36,Kimengo
508,2019,Primary,Private,13,Karujubu
509,2020,Primary,Government,43,Masindi Town Council
510,2022,Secondary,Private,2,Miirya
511,2020,Primary,Government,18,Nyangahaya
512,2018,Primary,Government,13,Kimengo
513,2018,Primary,Private,55,Karujubu
514,2022,Secondary,Private,20,Masindi Town Council
515,2022,Secondary,Government,5,Pakanyi
516,2019,Primary,Private,10,Karujubu
517,2018,Secondary,Private,50,Kimengo
518,2022,Secondary,Government,36,Miirya
519,2022,Primary,Private,33,Nyangahaya
520,2019,Secondary,Government,8,Miirya
521,2020,Primary,Government,50,Kimengo
522,2021,Secondary,Government,36,Karujubu
523,2022,Primary,Government,40,Pakanyi
524,2019,Secondary,Government,21,Karujubu
525,2020,Secondary,Private,33,Masindi Town Council
526,2022,Primary,Government,2,Karujubu
527,2022,Primary,Government,10,Miirya
528,2019,Primary,Private,13,Nyangahaya
529,2022,Secondary,Government,9,Kimengo
530,2022,Primary,Government,36,Masindi Town Council
531,2020,Secondary,Government,12,Pakanyi
532,2018,Secondary,Government,40,Pakanyi
533,2018,Secondary,Private,10,Pakanyi
534,2018,Secondary,Government,30,Masindi Town Council
535,2019,Primary,Private,20,Bwinjanga
536,2021,Secondary,Government,33,Nyangahaya
537,2018,Primary,Government,36,Nyangahaya
538,2020,Secondary,Private,20,Karujubu
539,2022,Secondary,Private,50,Miirya
540,2018,Secondary,Government,9,Nyangahaya
541,2021,Secondary,Government,20,Miirya
542,2021,Primary,Government,36,Masindi Town Council
543,2022,Secondary,Government,33,Nyangahaya
544,2018,Secondary,Government,20,Bwinjanga
545,2018,Secondary,Private,34,Kimengo
546,2020,Secondary,Private,34,Kimengo
547,2019,Secondary,Government,13,Miirya
548,2022,Secondary,Government,33,Miirya
549,2018,Secondary,Government,36,Bwinjanga
550,2022,Secondary,Government,9,Bwinjanga
551,2021,Secondary,Private,20,Nyangahaya
552,2018,Primary,Private,33,Kimengo
553,2020,Secondary,Government,38,Pakanyi
554,2021,Secondary,Private,50,Miirya
555,2020,Primary,Private,12,Pakanyi
556,2022,Primary,Government,8,Miirya
557,2020,Primary,Private,40,Karujubu
558,2020,Secondary,Private,2,Bwinjanga
559,2022,Secondary,Government,9,Karujubu
560,2020,Primary,Government,20,Karujubu
561,2022,Primary,Government,38,Miirya
562,2021,Secondary,Government,40,Bwinjanga
563,2020,Secondary,Private,38,Kimengo
564,2020,Secondary,Private,19,Pakanyi
565,2021,Primary,Government,20,Karujubu
566,2018,Secondary,Government,33,Bwinjanga
567,2019,Secondary,Private,21,Kimengo
568,2021,Secondary,Private,40,Kimengo
569,2019,Primary,Private,43,Miirya
570,2022,Primary,Government,30,Nyangahaya
571,2020,Secondary,Private,41,Miirya
572,2019,Secondary,Private,18,Masindi Town Council
573,2019,Secondary,Private,8,Masindi Town Council
574,2018,Secondary,Private,8,Masindi Town Council
575,2020,Secondary,Private,15,Miirya
576,2018,Secondary,Private,21,Bwinjanga
577,2020,Primary,Government,9,Bwinjanga
578,2021,Secondary,Government,41,Masindi Town Council
579,2019,Primary,Government,5,Masindi Town Council
580,2020,Secondary,Private,11,Pakanyi
581,2021,Primary,Government,15,Kimengo
582,2018,Secondary,Private,55,Nyangahaya
583,2022,Primary,Government,13,Kimengo
584,2020,Secondary,Private,2,Miirya
585,2019,Primary,Government,13,Pakanyi
586,2018,Primary,Government,20,Miirya
587,2020,Secondary,Private,20,Karujubu
588,2022,Primary,Private,9,Pakanyi
589,2021,Primary,Government,19,Masindi Town Council
590,2021,Primary,Government,18,Masindi Town Council
591,2021,Primary,Government,15,Kimengo
592,2020,Secondary,Private,19,Masindi Town Council
593,2019,Primary,Private,18,Bwinjanga
594,2021,Secondary,Government,15,Nyangahaya
595,2020,Primary,Private,43,Kimengo
596,2022,Secondary,Private,18,Miirya
597,2020,Secondary,Government,43,Kimengo
598,2020,Primary,Private,12,Masindi Town Council
599,2020,Primary,Private,13,Masindi Town Council
600,2022,Secondary,Private,18,Nyangahaya
601,2020,Primary,Government,40,Bwinjanga
602,2022,Secondary,Government,13,Nyangahaya
603,2019,Secondary,Private,11,Miirya
604,2020,Primary,Government,9,Bwinjanga
605,2021,Primary,Government,11,Miirya
606,2022,Primary,Private,38,Pakanyi
607,2018,Primary,Private,38,Nyangahaya
608,2021,Primary,Private,43,Nyangahaya
609,2018,Secondary,Government,41,Karujubu
610,2020,Primary,Private,11,Miirya
611,2022,Primary,Government,38,Nyangahaya
612,2019,Secondary,Government,8,Pakanyi
613,2021,Secondary,Government,43,Bwinjanga
614,2019,Secondary,Government,5,Kimengo
615,2022,Secondary,Government,12,Pakanyi
616,2021,Primary,Government,19,Nyangahaya
617,2021,Primary,Government,11,Kimengo
618,2019,Primary,Private,18,Karujubu
619,2020,Secondary,Government,19,Pakanyi
620,2020,Secondary,Private,40,Nyangahaya
621,2019,Primary,Private,50,Bwinjanga
622,2019,Primary,Private,15,Kimengo
623,2018,Secondary,Government,9,Karujubu
624,2021,Secondary,Private,8,Nyangahaya
625,2022,Primary,Private,5,Pakanyi
626,2018,Primary,Private,13,Bwinjanga
627,2018,Secondary,Government,21,Miirya
628,2021,Primary,Government,11,Kimengo
629,2020,Secondary,Private,18,Masindi Town Council
630,2018,Secondary,Government,55,Karujubu
631,2020,Secondary,Government,15,Karujubu
632,2022,Primary,Private,18,Masindi Town Council
633,2018,Primary,Private,36,Karujubu
634,2022,Secondary,Private,34,Masindi Town Council
635,2019,Primary,Private,40,Bwinjanga
636,2021,Secondary,Government,21,Pakanyi
637,2018,Secondary,Private,20,Pakanyi
638,2021,Primary,Private,36,Nyangahaya
639,2018,Primary,Private,18,Nyangahaya
640,2020,Primary,Government,55,Kimengo
641,2020,Primary,Private,36,Nyangahaya
642,2018,Primary,Government,8,Bwinjanga
643,2021,Primary,Private,40,Masindi Town Council
644,2019,Primary,Government,40,Karujubu
645,2022,Secondary,Government,30,Miirya
646,2019,Secondary,Government,38,Karujubu
647,2021,Primary,Government,12,Pakanyi
648,2019,Primary,Government,50,Karujubu
649,2019,Secondary,Government,43,Pakanyi
